T(256) = 32896, divs 16, max divs 90
T(257) = 33153, divs 8, max divs 90
T(258) = 33411, divs 16, max divs 90
T(259) = 33670, divs 32, max divs 90
T(260) = 33930, divs 48, max divs 90
T(261) = 34191, divs 12, max divs 90
T(262) = 34453, divs 4, max divs 90
T(263) = 34716, divs 24, max divs 90
T(264) = 34980, divs 48, max divs 90
T(265) = 35245, divs 16, max divs 90
T(266) = 35511, divs 16, max divs 90
T(267) = 35778, divs 16, max divs 90
T(268) = 36046, divs 8, max divs 90
T(269) = 36315, divs 16, max divs 90
T(270) = 36585, divs 16, max divs 90
T(271) = 36856, divs 16, max divs 90
T(272) = 37128, divs 64, max divs 90
T(273) = 37401, divs 16, max divs 90
T(274) = 37675, divs 12, max divs 90
T(275) = 37950, divs 48, max divs 90
T(276) = 38226, divs 16, max divs 90
T(277) = 38503, divs 4, max divs 90
T(278) = 38781, divs 12, max divs 90
T(279) = 39060, divs 72, max divs 90
T(280) = 39340, divs 24, max divs 90
T(281) = 39621, divs 8, max divs 90
T(282) = 39903, divs 8, max divs 90
T(283) = 40186, divs 8, max divs 90
T(284) = 40470, divs 32, max divs 90
T(285) = 40755, divs 32, max divs 90
T(286) = 41041, divs 16, max divs 90
T(287) = 41328, divs 60, max divs 90
T(288) = 41616, divs 45, max divs 90
T(289) = 41905, divs 12, max divs 90
T(290) = 42195, divs 16, max divs 90
T(291) = 42486, divs 16, max divs 90
T(292) = 42778, divs 8, max divs 90
T(293) = 43071, divs 12, max divs 90
T(294) = 43365, divs 24, max divs 90
T(295) = 43660, divs 24, max divs 90
T(296) = 43956, divs 48, max divs 90
T(297) = 44253, divs 16, max divs 90
T(298) = 44551, divs 8, max divs 90
T(299) = 44850, divs 48, max divs 90
T(300) = 45150, divs 48, max divs 90
T(301) = 45451, divs 8, max divs 90
T(302) = 45753, divs 8, max divs 90
T(303) = 46056, divs 32, max divs 90
T(304) = 46360, divs 32, max divs 90
T(305) = 46665, divs 24, max divs 90
T(306) = 46971, divs 12, max divs 90
T(307) = 47278, divs 16, max divs 90
T(308) = 47586, divs 32, max divs 90
T(309) = 47895, divs 16, max divs 90
T(310) = 48205, divs 8, max divs 90
T(311) = 48516, divs 24, max divs 90
T(312) = 48828, divs 24, max divs 90
T(313) = 49141, divs 4, max divs 90
T(314) = 49455, divs 24, max divs 90
T(315) = 49770, divs 48, max divs 90
T(316) = 50086, divs 8, max divs 90
T(317) = 50403, divs 8, max divs 90
T(318) = 50721, divs 16, max divs 90
T(319) = 51040, divs 48, max divs 90
T(320) = 51360, divs 48, max divs 90
T(321) = 51681, divs 16, max divs 90
T(322) = 52003, divs 16, max divs 90
T(323) = 52326, divs 40, max divs 90
T(324) = 52650, divs 60, max divs 90
T(325) = 52975, divs 12, max divs 90
T(326) = 53301, divs 8, max divs 90
T(327) = 53628, divs 24, max divs 90
T(328) = 53956, divs 24, max divs 90
T(329) = 54285, divs 32, max divs 90
T(330) = 54615, divs 16, max divs 90
T(331) = 54946, divs 8, max divs 90
T(332) = 55278, divs 24, max divs 90
T(333) = 55611, divs 12, max divs 90
T(334) = 55945, divs 8, max divs 90
T(335) = 56280, divs 64, max divs 90
T(336) = 56616, divs 32, max divs 90
T(337) = 56953, divs 6, max divs 90
T(338) = 57291, divs 12, max divs 90
T(339) = 57630, divs 32, max divs 90
T(340) = 57970, divs 32, max divs 90
T(341) = 58311, divs 24, max divs 90
T(342) = 58653, divs 24, max divs 90
T(343) = 58996, divs 24, max divs 90
T(344) = 59340, divs 48, max divs 90
T(345) = 59685, divs 16, max divs 90
T(346) = 60031, divs 4, max divs 90
T(347) = 60378, divs 16, max divs 90
T(348) = 60726, divs 16, max divs 90
T(349) = 61075, divs 12, max divs 90
T(350) = 61425, divs 48, max divs 90
T(351) = 61776, divs 80, max divs 90
T(352) = 62128, divs 20, max divs 90
T(353) = 62481, divs 8, max divs 90
T(354) = 62835, divs 16, max divs 90
T(355) = 63190, divs 16, max divs 90
T(356) = 63546, divs 32, max divs 90
T(357) = 63903, divs 16, max divs 90
T(358) = 64261, divs 4, max divs 90
T(359) = 64620, divs 36, max divs 90
T(360) = 64980, divs 54, max divs 90
T(361) = 65341, divs 6, max divs 90
T(362) = 65703, divs 12, max divs 90
T(363) = 66066, divs 48, max divs 90
T(364) = 66430, divs 32, max divs 90
T(365) = 66795, divs 16, max divs 90
T(366) = 67161, divs 8, max divs 90
T(367) = 67528, divs 16, max divs 90
T(368) = 67896, divs 48, max divs 90
T(369) = 68265, divs 24, max divs 90
T(370) = 68635, divs 16, max divs 90
T(371) = 69006, divs 32, max divs 90
T(372) = 69378, divs 16, max divs 90
T(373) = 69751, divs 8, max divs 90
T(374) = 70125, divs 32, max divs 90
T(375) = 70500, divs 48, max divs 90
T(376) = 70876, divs 24, max divs 90
T(377) = 71253, divs 32, max divs 90
T(378) = 71631, divs 16, max divs 90
T(379) = 72010, divs 16, max divs 90
T(380) = 72390, divs 32, max divs 90
T(381) = 72771, divs 8, max divs 90
T(382) = 73153, divs 4, max divs 90
T(383) = 73536, divs 28, max divs 90
T(384) = 73920, divs 112, max divs 112
T(385) = 74305, divs 16, max divs 112
T(386) = 74691, divs 12, max divs 112
T(387) = 75078, divs 24, max divs 112
T(388) = 75466, divs 8, max divs 112
T(389) = 75855, divs 16, max divs 112
T(390) = 76245, divs 32, max divs 112
T(391) = 76636, divs 36, max divs 112
T(392) = 77028, divs 36, max divs 112
T(393) = 77421, divs 8, max divs 112
T(394) = 77815, divs 8, max divs 112
T(395) = 78210, divs 48, max divs 112
T(396) = 78606, divs 24, max divs 112
T(397) = 79003, divs 4, max divs 112
T(398) = 79401, divs 16, max divs 112
T(399) = 79800, divs 96, max divs 112
T(400) = 80200, divs 24, max divs 112
T(401) = 80601, divs 8, max divs 112
T(402) = 81003, divs 16, max divs 112
T(403) = 81406, divs 16, max divs 112
T(404) = 81810, divs 40, max divs 112
T(405) = 82215, divs 40, max divs 112
T(406) = 82621, divs 16, max divs 112
T(407) = 83028, divs 48, max divs 112
T(408) = 83436, divs 24, max divs 112
T(409) = 83845, divs 8, max divs 112
T(410) = 84255, divs 16, max divs 112
T(411) = 84666, divs 16, max divs 112
T(412) = 85078, divs 16, max divs 112
T(413) = 85491, divs 24, max divs 112
T(414) = 85905, divs 24, max divs 112
T(415) = 86320, divs 40, max divs 112
T(416) = 86736, divs 40, max divs 112
T(417) = 87153, divs 16, max divs 112
T(418) = 87571, divs 8, max divs 112
T(419) = 87990, divs 32, max divs 112
T(420) = 88410, divs 32, max divs 112
T(421) = 88831, divs 4, max divs 112
T(422) = 89253, divs 12, max divs 112
T(423) = 89676, divs 36, max divs 112
T(424) = 90100, divs 36, max divs 112
T(425) = 90525, divs 24, max divs 112
T(426) = 90951, divs 16, max divs 112
T(427) = 91378, divs 16, max divs 112
T(428) = 91806, divs 32, max divs 112
T(429) = 92235, divs 32, max divs 112
T(430) = 92665, divs 8, max divs 112
T(431) = 93096, divs 32, max divs 112
T(432) = 93528, divs 32, max divs 112
T(433) = 93961, divs 8, max divs 112
T(434) = 94395, divs 32, max divs 112
T(435) = 94830, divs 32, max divs 112
T(436) = 95266, divs 16, max divs 112
T(437) = 95703, divs 16, max divs 112
T(438) = 96141, divs 8, max divs 112
T(439) = 96580, divs 24, max divs 112
T(440) = 97020, divs 108, max divs 112
T(441) = 97461, divs 36, max divs 112
T(442) = 97903, divs 8, max divs 112
T(443) = 98346, divs 16, max divs 112
T(444) = 98790, divs 32, max divs 112
T(445) = 99235, divs 8, max divs 112
T(446) = 99681, divs 8, max divs 112
T(447) = 100128, divs 48, max divs 112
T(448) = 100576, divs 24, max divs 112
T(449) = 101025, divs 18, max divs 112
T(450) = 101475, divs 36, max divs 112
T(451) = 101926, divs 16, max divs 112
T(452) = 102378, divs 16, max divs 112
T(453) = 102831, divs 8, max divs 112
T(454) = 103285, divs 16, max divs 112
T(455) = 103740, divs 96, max divs 112
T(456) = 104196, divs 24, max divs 112
T(457) = 104653, divs 4, max divs 112
T(458) = 105111, divs 16, max divs 112
T(459) = 105570, divs 64, max divs 112
T(460) = 106030, divs 16, max divs 112
T(461) = 106491, divs 16, max divs 112
